module,word,imagePath,audioPath
A,apple,/media/A/apple.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\A\apple.mp3"""
A,ball,/media/A/ball.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\A\ball.mp3"""
A,book,/media/A/book.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\A\book.mp3"""
A,cup,/media/A/cup.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\A\cup.mp3"""
A,dog,/media/A/dog.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\A\dog.mp3"""
A,fish,/media/A/fish.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\A\fish.mp3"""
A,star,/media/A/star.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\A\star.mp3"""
A,sun,/media/A/sun.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\A\sun.mp3"""
A,tree,/media/A/tree.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\A\tree.mp3"""
B,cold,/media/B/cold.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\B\cold.mp3"""
B,family,/media/B/family.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\B\family.mp3"""
B,fast,/media/B/fast.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\B\fast.mp3"""
B,green,/media/B/green.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\B\green.mp3"""
B,happy,/media/B/happy.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\B\happy.mp3"""
B,house,/media/B/house.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\B\house.mp3"""
B,jump,/media/B/jump.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\B\jump.mp3"""
B,red,/media/B/red.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\B\red.mp3"""
B,sing,/media/B/sing.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\B\sing.mp3"""
B,yellow,/media/B/yellow.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\B\yellow.mp3"""
C,beach,/media/C/beach.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\C\beach.mp3"""
C,doctor,/media/C/beach.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\C\doctor.mp3"""
C,farmer,/media/C/beach.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\C\farmer.mp3"""
C,forest,/media/C/beach.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\C\forest.mp3"""
C,mountain,/media/C/beach.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\C\mountain.mp3"""
C,quiet,/media/C/beach.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\C\quiet.mp3"""
C,river,/media/C/beach.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\C\river.mp3"""
C,summer,/media/C/beach.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\C\summer.mp3"""
C,teacher,/media/C/beach.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\C\teacher.mp3"""
C,winter,/media/C/beach.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\C\winter.mp3"""
D,ancient,/media/D/ancient.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\D\ancient.mp3"""
D,classroom,/media/D/classroom.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\D\classroom.mp3"""
D,education,/media/D/education.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\D\education.mp3"""
D,environment,/media/D/environment.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\D\environment.mp3"""
D,homework,/media/D/homework.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\D\homework.mp3"""
D,innovation,/media/D/innovation.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\D\homework.mp3"""
D,knowledge,/media/D/knowledge.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\D\knowledge.mp3"""
D,language,/media/D/language.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\D\language.mp3"""
D,research,/media/D/research.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\D\research.mp3"""
D,science,/media/D/science.png,"""C:\Users\RAINE\my-mern-app\frontend\public\media\D\science.mp3"""
